city,lat,lng
Kuala Lumpur,3.1478,101.6953
Ipoh,4.6,101.07
Johor Bahru,1.4556,103.7611
George Town,5.4145,100.3292
Kuantan,3.8167,103.3333
Kota Bharu,6.1333,102.25
Melaka,2.1889,102.2511
Kota Kinabalu,5.975,116.0725
Seremban,2.7297,101.9381
Kuching,1.5397,110.3542
Kuala Terengganu,5.3303,103.1408
Taiping,4.8519,100.7416
Kluang,2.0301,103.3185
Sibu,2.2883,111.8313
Bintulu,3.1739,113.0428
Miri,4.3995,113.9914
Kudat,6.8831,116.8466
Sandakan,5.8394,118.1172
Tawau,4.2447,117.8912
Klang,3.0449,101.4456
Subang Jaya ,3.0567,101.5851
Petaling Jaya ,3.1279,101.5945
